userName,score,at,content
Deni Rahmat,1,2024-10-17 14:02:27,"Klo download film harus dipantengin terus layar gak boleh mati apalagi keluar dri aplikasi. Udh gitu malah sering balik lagi ke awal/download ulang, buang2 kuota banyak. Aplikasi sering di update bukan'nya tambah bagus malah tambah minus aja👎 Sampah"
rumiko yunie,4,2024-10-17 10:40:06,"tau2 log out sendiri, udah berapa kali kayak gini, sampe harus ganti email, sekarang malah ga bisa masuk karena keseringan log in, aneh, coba deh bugnya dibenerin"
Djoko Suwarno,1,2024-10-17 08:29:19,"Setelah mengisi no hp ada jawaban ""terjadi kesalahan internal, coba lagi nanti"" dan unable to send SMS, please try again later"" kenapa saya tidak bisa menggunakan apl Telegram ini ?"
Ayu Nur Azizah,1,2024-10-17 05:15:16,"Telegram sekarang sering kena hack, cuma gara² ngeklik link lowongan kerja . Sangat di sayangkan tingkat keamanan untuk komunikasi pribadi sudah tidak aman, apalgi langsung menyebarluaskan lewat group berupa link yang langsung bikin akun orang ke hack , dan lebih parahnya lagi kontak yg tertaut langsung di masukkan group. 👎👎"
Cecilia Istanto,1,2024-10-17 00:30:12,"No saya kena hack, dan ketika saya ingin masuk kembali, ternyata sudah ada email yang terdaftar, entah itu email siapa, karena yang terdaftar bukan email saya. Saya kesulitan untuk mengakses kembali akun telegram saya. Sungguh sangat menyedihkan,.. apakah ada yang dapat membantu, apa yang sebaiknya saya lakukan ? Saya tidak bisa mendapatkan OTP melalui SMS, padahal ada dana yang cukup untuk saya bisa menerima SMS."
jefri wahyudi,1,2024-10-16 20:14:11,"Data kurang aman. Kode otp hanya bisa dikirim via telegramnya. Seharusnya bisa dikirim via SMS nomor telepon. Jadinya akun kena kena bajak oleh orang lain dan diubah alamat emailnya, sehingga tidak dapat login menggunakan nomor sendiri."
Nedi Prasetya,3,2024-10-16 17:35:49,"Saya mengalami kendala,kenapa setiap vidio yg sudah saya dowload tidak muncul di galeri dan malah terhapus dgn sendiri nya."
Evelina Larisa (Evelin),1,2024-10-16 15:13:09,"Hi, Saya mau memberitahukan keluhan & saran saya harap bisa mewakilkan para pengguna di semua negara. 1. Tolong jangan premium kan fitur story tanpa batas/limit 2. Meningkatkan kualitas unduh file/video/foto , maaf banyak yang ngeluh walau sudah premium dan memakai WiFi tetap saja mengalami buruknya download file/video/foto 3. Tolong untuk membuat akun baru tambahkan opsi selain mendapatkan kode OTP via SMS, Karena peraturan omor telp saat ini adalah no yang di daur ulang. terima kasih"
Indri Muharani,5,2024-10-16 14:00:27,"uda bgus sih ok soalnya pengguna telegram dari 2020, tpi ini pas saya mau msuk akun terus saya riset akun google udah smpe nunggu 7hari tapi kenapa ga bisa login yah? tolong kak informasi lebih lanjutnya soalnya agak kecewa krna gabisa login pdhl uda masuk kode lewat gmail sampe 3 kali tapi tetep gabisa tolong TELEGRAM infoin lebih lanjuttt"
Nadya Hendri,3,2024-10-16 11:41:10,Tidak bisa verifikasi akun padahal nomor benar dan jaringan bagus itu gimana ya tolong diperhatikan dan diperbaiki lebih lanjut. terimakasih
An Lian,1,2024-10-16 03:44:05,"Makin susah, saya ingin membuat akun baru dengan nomor baru, tetapi saya tidak mendapatkan kode Verifikasi dan justru tertulis ""Kode dikirim ke perangkat anda yang lain."" Nomor telepon saya itu baru, belum pernah mendaftar telegram. Kode Verifikasi tidak muncul. Padahal Koneksi saya aman, tidak menggunakan vpn. Masalahnya di kode Verifikasi!! Kenapa tertulis ""Kode dikirim ke perangkat Anda yang lain"" SEDANGKAN NOMOR SAYA BARU AKAN DIDAFTARKAN KE TELEGRAM."
mawarni,1,2024-10-16 02:53:10,"Selalu saja dimasukkan grup oleh orang tak dikenal ntah itu pinjol, judol dan grup berkedok investasi tolong diperbaiki lagi lah itu sangat meresahkn bagi saya itu juga gak 1 atau 2 x ya tp setiap hari pasti ada jadi meresahkab sekali dan tiba² pas saya login ke akun saya tiba² ada orang yg bukan dr kontak saya ada pemberitahuan klau dia teman baru menggunakan nomor dikontak saya padahal saya tidak punya nomor. PERBAIKI PRIVASINYA UNTUK PENGGUNA!!"
Dini Wulandari,4,2024-10-15 15:20:59,"akhir-akhir ini banyak sekali bug, contohnya saat sudah selesai mendownload film, malah eror seperti video tidak bisa diputar atau lebih parah sampai mengulang download dari awal. menghabiskan kuota jadinya, tolong segera diperbaiki🙏"
Thoriq Dwitama,1,2024-10-15 12:57:26,Kenapa dah ni aplikasi saya sudah isi nomor aktif tapi kode verivikasinya tidak terkirim kirim smsnya gada masuk untuk verivikasi apa tidak ada opsi lain kah selain lewat sms buruk sekali ni aplikasi aneh banget padahal jaringan sudah bagus nomor pun yang di pakai aktif gajelas ni aplikasi!!
Chusnul Assiddikki,3,2024-10-15 11:44:12,"Nomor lama saya telah lama mati, dan saya mau login ke Telegram kembali menggunakan nomor telepon baru, tapi ketika memverifikasi nomor baru, saya di arahkan ke akun Telegram yang lain, berulangkali saya coba namun tetap sama, apa yang harus saya lakukan sedangkan saya ingin login ke Telegram menggunakan nomor baru, namun di arahkan untuk mengecek akun saya yang lain, aneh. Mohon penjelasannya."
Haikal Amin,1,2024-10-15 05:04:35,"Masak saya sudah bener dalam memberi nomer telepon saya tapi akun google nya beda sama yang saya gunakan apalagi saat gabung dengan akun google malah ""akun google tidak valid"" tolong pihak developer memperbaiki bug tersebut karena sangat menggangu"
Yuninda Sholikhah,5,2024-10-15 04:08:25,"Hanya saja merasa TERGANGGU ketika : 1). ada chat ""User Joined Telegram"" 2). Tiba-tiba masuk grup scam seperti trading dan grup grup tidak jelas, padahal sudah di atur setingannya 3). Ketika mengapload atau mendownload kendalanya sering terhenti sendiri ,jadi harus di ulang dari awal."
Kaira Axsia,1,2024-10-15 01:25:39,Apapsih gk dapat kode nya padahal udah ganti² nomor banyak kali tapi tetap ajah gk dapat dan kartunya masih baru tapi gk dapat kode kecewa banget ama ini apk i don't like ☆ -_-
Rizky Eka Putri,1,2024-10-14 17:56:17,"Tiba2 keluar dan ga bisa login kembali karena terblokir padahal saya tidak pernah melakukan apa2,tolong kembalikan telegram saya beserta data2nya,karena didalam nya sangat penting"
Dewi Winarsih,1,2024-10-14 13:44:30,"Udah lama gak pake telegram,Baru juga download brapa hari yg lalu,baru juga di pake semalem hari ini di buka tiba2 no di blok kenapa coba,gak ada pemberitahuan lagi,tolong di buka lagi dong,dan kasih keterangan nya di blok kenapa"
Aida Zaskia,1,2024-10-14 11:31:50,"saya sudah mencoba mendaftar ke telegram dengan nomer yang berbeda tetapi tetap sama saja, tidak dikirim kode Verifikasi nya membuat saya kesal, percuma saya beli kartu perdana hanya untuk mendaftar telegram eh tau² nya tetep ga bisa login dan ga di kasih kode Verifikasi."
Vivi Novita,3,2024-10-14 04:32:08,"Aplikasi ini bagus, tapi kami minta bantuan dari Telegram agar menghimbau ke semua orang lewat akun telegram sendiri - apabila ada yg tiba2 memasukkan kontak kami ke group yg tdk dikenal sama sekali harap langsung keluar, banyak sekali penipuan yg tiba2 add kontak kita dan diiming2in sesuatu dan akhirnya kita ditipu. Terima kasih atas kerjasamanya. Saya naikkan 1 bintang dulu"
Anis Kharisma,1,2024-10-13 23:27:53,"Hapus ajah aplikasi ini, sekarang marak penipuan memanfaatkan aplikasi ini. Sebab nomor telepon tidak nampak dan bisa tersembunyi."
Mesiyanto Real,4,2024-10-13 21:07:44,"Keren, mudah di gunakan, semoga kedepannya lebih baik lagi. Saran: Tambahin pembayaran via paypal. Terimakasih"
Anak Cheater,1,2024-10-13 15:42:47,Saya mengalami masalah tentang akun saya jika saya share foto maupun link akun telegram saya akan otomatis keluar dari semua perangkat harap hilangkan sistem seperti itu sangat meresahkan
Fahrisa Salsabila,3,2024-10-13 14:19:11,"bagus tapi kalau udah download video yang panjang kayak film gitu suka hilang sendiri jd bikin kesel banget mana gatau gimana balikinnya, udah cape cape habis kuota buat download eh malah hilang, pesan dari saya cmn satu tolong perbaiki aja biar kayak dulu aman nyimpen video di aplikasi ini"
Habibillah 808,1,2024-10-13 06:02:55,"gajelas bgt ini aplikasinya masa tiba-tiba cht ilang semua, trs tbtb nomer telegram di banned pdhl ga melakukan hal-hal aneh, mengajukan banding uda berbulan bulan juga percuma tidak ada respon apa apa"
Ryan Efendi Nasution,2,2024-10-12 11:16:38,"ga ilang ilang penyakit nya dari dulu, susah bgt buat login pasti selalu ada tulisan code expired pdhl itu kode nya baru bgt dikasih sama telegram nya"
Muhammad Rafli,1,2024-10-12 10:44:54,"fyi, sekarang telegram bakalan log out otomatis kalau usernya ngetik link yang berakhiran .my dan .id, segitunya telegram sampai bikin user gak nyaman. Memangnya apa tujuan buat ngeberlakukan hal tersebut??"
Ibnu Fans,1,2024-10-12 09:56:30,"Aplikasi aneh, padahal baru download dan baru mendaftarkan nomor saya, tapi entah mengapa setelah keluar dari Aplikasi kurang lebih 1 jam pas login lagi kok nomor saya diblokir sama pihak telegram. Buat kalian yang baru download dan mau mendaftarkan nomor kalian mending tidak usah mendowload Aplikasi ini deh, soalnya mubazir aja kuotanya"
Sella Asmaranti,2,2024-10-12 09:36:02,"kenapa ya telegram kalau mau daftar ulang susah dapet kode nya? padahal udah pake no tlp yang betul,ttp ngga bisa. tolong untuk telegram di perbaiki lagi yaa terimasiii."
Surjana,5,2024-10-12 04:31:08,Aplikasi nya sangat bagus sekali dan aku senang sekali memainkan game TELEGRAM dan akan menamatkan 3 tahun kedepan dan mama aku pasti bangga dengan pencapaian aku bermain TELEGRAM yang seru dan menyenangkan.
Jria R.L.Bersama,1,2024-10-12 04:10:37,Ini telegram kenapa ya ada cek bansos udah gitu pas di klik kita jadi kehilangan account. Coba di cek dong security-nya. Udah lama gak cek cek. Pas iseng ngecek malah begitu.
Tedi Miharja,1,2024-10-11 22:22:30,Sangat kecewa masa udah 2 hari SMS/ telepon untuk kode nya enggak ada yang masuk semuanya sampai saya hapus lagi dan install lagi sama aja enggak bisa dan saya juga isi pulsa enggak bisa sama sekali
Akhmad Baiqunie,1,2024-10-11 11:09:44,"Ada apa dengan telegram, tiba2 saya dikeluarkan semuanya dr perangkat yg terhubung. Grup2 yg join jg hilang semua, chat2 dgn kontak hilang semua, ada file arsip penting jg hilang terhapus. Tolong diperbaiki lg keamanan"
Intan Irdina,2,2024-10-11 10:37:05,Kok jadi bengkak mengirim file 200MB berubah 600MB sebelum di upgrade gak pernah begitu normal saja. Bahkan pengaturan nya sudah benar. Mohon bantuannya
Muhammad Ridwan,1,2024-10-11 00:52:01,"susah banget mau buat akun, kode verifikasi tidak masuk sama sekali padahal nomor sudah benar, sudah mengulang beberapa kali juga tidak menerima kode verifikasi!!!"
Uswah Aj,3,2024-10-10 22:09:13,Setiap download film. Film yang saya download selalu hilang kalo kuota habis jadi sia sia download banyak film kalau terakhir hilang jugak . Gak ada fitur nyimpan Ke galeri lagi jadi kuota saya hilang sia sia
Aldho Darma Saputra,5,2024-10-10 16:23:43,"Aplikasi yg sangat membantu semua fitu²nya saya suka disini juga ngirim pesan gk lemot, apalagi ada fitur dimana kalau kita bikin status bisa kesebar kemana² itu membantu karna saya punya akun medsos yg harus kesebar. 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻"
putrie madanijayanthie,3,2024-10-10 13:21:49,"Tolong diperbaiki lagi Telegramnya, karena setiap abis di update masa jadi lemot terus juga ga ada gambarnya pas mau buka aplikasinya tolong diperbaiki lagi dong"
Tanti tan,1,2024-10-10 12:11:41,"Setiap daftar malah kirim kode verifikasi ke perangkat lain, sedangkan belum pernah membuat telegram, aneh kontak developer nya juga ga pernah dibales"
Juliya Liya,1,2024-10-10 09:17:16,"Saya mau nanya. Kemaren TELEGRAM saya masih bisa kebuka, hari ini saya belum membuka TELEGRAM sama sekali tetapi teman saya nelfon saya karna saya mengirim pesan link yang ga jelas mengatas namakan nama saya ke teman saya sedangkan saya belum membuka TELEGRAM. Tetapi pas saya mau buka TELEGRAM tiba-tiba akun telegram saya ga bisa kebuka dan saya coba daftar lagi tetapi tidak bisa tampilannya loading terus. Ini gimana ya telegram makin kesini makin ga jelas sama sekali. Tolong perbaiki."
Fanya Imut,3,2024-10-10 08:39:32,"apknya berguna bangett+fitur telegram premium nya juga menarikk, aku sudah bolak balik prem nggak pernah nyesell, tapi kalau lebih baik untuk akun nya lebih dari 4 yaa, terimakasihh"
Ini Namaku,1,2024-10-10 04:53:42,"Saya tidak bisa mengakhiri sesi di perangkat lain dari perangkat yang saya gunakan. Disitu tertulis ""Demi keamanan, Anda tidak dapat menghentikan sesi aktif lama Anda dari perangkat yang baru saja Anda hubungkan. Mohon gunakan perangkat yang sudah terhubung sebelumnya atau tunggu beberapa jam."" Tapi, ini sudah TIGA HARI, DAN TETAP TIDAK BISA DIAKHIRI. Sangat disayangkan aplikasi perpesanan yang terkenal ""aman"" ini tidak bisa memberikan rasa aman."
devita diella,3,2024-10-10 00:16:06,Tidak bisa login di telegram. Selalu bilangnya kami sudah mengirimkan kode di telegram di perangkat anda yg lain. Padahal ga pernah login di hp lain Edit: sudah bisa login sebelumnya harus kirim email ke telegramnya. Setelah login pesan sebelumnya terhapus semua.
HPR Ajo,1,2024-10-09 14:42:45,"Mohon maaf sebelumnya, saya beri bintang satu karena saya tidak bisa log in ke akun saya, saya tidak bisa menerima kode otp dari SMS atau pun melalui telepon juga tidak bisa, tolong dong buat customer service nya!!!! Mohon untuk di bantu para user nya!!"
Matt,1,2024-10-09 13:04:39,Dasar aplikasi rusak kenapa kode email terkirim dan kode SMS tidak terkirim sama sekali sampai tidak dapat memasukkan nomor karena terlalu sering🤬🤬🤬
Seti Fani,1,2024-10-09 08:31:34,"ini saya premiumin kedua kali tapi eror, dan sekarang saya batalkan langganan premiumnya. saya harap uangnya bisa balik ya mohon kedepannya aplikasi ini jadi lebih baik lagi"
Uliyatun Nur Rika,1,2024-10-09 05:00:17,"Sekarang log in telegram sulit udah makai Nomo 2x tetep gak ada kode verifikasi, minta bantuan lewat email tetep gak ada penanganan terus solusinya gimana ini?? Mohon di tindak lanjuti 🙏🏻"
sepya dewi,3,2024-10-08 15:46:13,"sedikit kesal ketika chat grup maupun pribadi di apk ini selalu pending, padahal data dan wifi aman"" saja. tolong perbaiki secepatnya!"
Shira asti Kirani,1,2024-10-08 13:49:20,"suka tiba² ke reset trs harus login lagi, aku pencet yang ""lupa kata sandi"" tapi gbsa jd terpaksa bikin akun baru, akun lamanya jd ke hapus. pdhal udh dpet temen banyak jd susah lagi kan nyarinya"
Dewinta Sari,5,2024-10-08 10:17:44,"ini kenapa tiba-tiba gak bisa d buka yah, padahal buka yg lain bisa lho. trus abis d update mau download lama banget, padahal aku user premium yg katanya bisa download dengan lebih cepat. kondisi sinyal bagus yah."
ak. wulandari,3,2024-10-08 10:17:32,maaf saya lebih suka telegram yang sebelum ada update. tolong dong bugnya di perbaiki lagi soalnya saya sering sekali merasakan baru login di acc tiba-tiba keluar sendiri trus juga untuk login agak susah padahal nomernya masih active. thank u saran saya diperbaiki lebih baik lagi untuk fitur kedepannya
Aditya Ardi,1,2024-10-08 09:32:25,"kepada pihak telegram yang terhormat, saya ingin mengajukan keluhan Kenapa akun telegram saya tiba log out sendiri sehingga setiap kali saya ingin menggunakan telegram saya harus login dan menunggu kode verifikasi dari SMS secara terus menerus. Tolong segera di perbaiki karena saya ingin menggunakan telegram dengan lebih nyaman lagi"
A Fauzi,5,2024-10-07 13:48:37,"Apk kurang bagus,gajelas banyak film perdewasaan,tidak cocok untuk anak dibawah 15,saya baru 10 tahun tapi saya sudah mendowload telegram,JADI SAYA SARANKAN UNTUK AMAK YANG MASIH DIBAWAH 18 JANGAN DOWLOAD YA"
Rini Puspita,3,2024-10-07 13:44:23,"Telegram sekian lama nunggu sms otp utk bisa login alhamdulillah akhirnya bisa login juga agak trauma yaa krn nunggunya lamaa betttzzz klo bisa kode otp dikirim via email atau WA lah biar g ribet ya kan,,"
herdicesar herdicesar,1,2024-10-07 12:33:12,"Kocak TELEGRAM gw beli kartu perdana baru 30kartu pas mau daftar telegram otp nya ga ada SMS hrus pake kode otp yang ditele nya,, update lah yang bner biar bisa login otp via sms, klo dah berubah gw kasih 6bintang"
Mey Yana,1,2024-10-07 07:27:58,"aplikasi nya kurang sukaa!! masak saya udah 6 kali bolak balik play store cuma buat donwload TELEGRAM, biar bisa daftar nomor telepon tapi kodenya ga masuk masuk gilaa perbaiki dongg TELEGRAM lama lama saya gila dengan aplikasi ini!"
Dhea Emma,1,2024-10-06 19:22:12,"Sudah 2 bulanan mengajukan keluhan mengenai akun yang dibatasi, tapi kenapa tidak ada tindakan dari pihat aplikasinya. Jangankan melakukan spam, buka aplikasinya aja jarang. Kalau buka pun cuma baca info di grup. Jadi, spam apa yg buat akunku dibatasi. Minimal kasih tau bagian mana spamnya. Jangan asal batasi akun. Btw seingetku akunku dibatasi dah dari beberapa bulan yg lalu dan hampir 1 tahun. TOLONG SEGERA DITINDAK LANJUTI!!"
N S,4,2024-10-06 19:01:55,"Knp klu kebanned kayak susah amat dapat jawaban... Imel kek SMS kek apa kek.. Kok gk ada sama seka kali.. Aplikasi lain kok cepet... Lagian didalam walet ada duitnya.. Blm lagi app yg lagi buat projek.. Susah amat sih... Aduuuh.,..."
Rolling Door,1,2024-10-06 11:47:34,"Kenapa setelah di perbaharui tidak bisa login, kode verivy selalu eror, banyak arsip tersimpan di telegram lama, gimana dong"
JMK PRC,1,2024-10-06 05:25:15,"Tolong lah pihak dev telegram untuk dipermudah dapatkan kode verifikasi sprti biasanya, knp sda susah uda diberikan kode verifikasi. Pulsa banyak, paket sms ada, paket telpon ada, VPN tdk aktif, paket internet banyak, ditambah ada wifi. Diaplikasi yg laij bisa terima kode verifikasi, knp hanya telegram ini yg gak bisa terima verifikasi. Klo dipersulit sprti ini, mending dihapus aja dri playstore. Sbnarnya sya suka sama aplikasi telegram ini, sblom hp sya kena reset."
Peuyeum Haseum,3,2024-10-06 04:30:28,"Banyak bug dalam peng-uplouad an foto profil pada aplikasi ini, sering kali sesudah uploud foto ke profil.. malah loading berputar tidak terunggah, ini bukan masalah koneksi jaringan saya rendah, tetapi ini malasah pada aplikasinya"
Opi Apianti,1,2024-10-05 18:15:54,"Ada sebenarnya dengan aplikasi ini ? bot game yang ada di telegram tidak bisa berjalan satu pun, hal ini sepertinya telah melakukan sabotase sehingga tidak seperti yang diharapkan. Apalagi banyak sekali airdrop yang audah dimainkan, eh malah seperti ini ,😠"
Oppo A18,1,2024-10-05 13:48:21,"jelek, padahal dulu saya instal bagus"" aja tapi knp pas saya instal lagi mlah kg bisa masuk dibilang nya kata sandi nya nanti pas ada notif tapi sampe sekarang jg ada trus juga malas kg bisa masuk sama sekali giman asih ini? udh instal kg bisa trus hapus coba instal sekali lagi tetap aja kg bisa tolong dong ini kalau gini terus giman mau main tele"
Rismawati Imma,1,2024-10-05 11:55:19,kepada pihak TELEGRAM yang terhormat tolong lah di perbaiki aplikasinya bagai mana kita mau berkembang kalo aplikasi yang sangat tren ini banyak bermasalah dan kendala pada aplikasi ini saya sangat kecewa banget sudah cape donwload hapus lalu sampai berulang2 kali saya lakukan tapi tetep aja ngga bisa buat akun malah kendalanya di kode ferivikasi ngga ada muncul dan aku udah pake nomor HP aktif sampai 3 digit
Vicky Efendi,1,2024-10-04 14:17:19,"Bagus sih cuma mau daftar nomor baru terlalu rumit dan error, muncul internal eror, daftar nomor aja susah ga kayak yang lain, aneh dan coba ada tranfer dari wallet ke rekening bank kan lebih enak"
Indonesia 2019 (Dwito putra),1,2024-10-04 11:10:19,Asli GAJELAS. jelas2 kita belum punya akun dan belum pernah terdaftar nomor telegram minta sms malah kode dikirimkan ke perangkat yang lain dg nomor yg saya daftarkan tersebut. Di email pun tidak dapat membantu sama sekali. Tolong dong telegram diperbaiki.
Barry Kerong,5,2024-10-04 05:37:28,Done terimakasih sudah bisa masuk telegramnya. Saya diamkan 1/2 hari tanpa uninstall. Pas mau coba masuk info telegram/app lalu bersihkan cache dan data. Masukan email manual lalu menunggu beberapa detik kode otomatis di terima. Makasih.
Maula,1,2024-10-04 04:15:37,"Halo admin kenapa mendadak saya gak bisa masuk, padahal nomor hp sebelum nya dan sekarang tetap sama, dan lagi di bilang nomor saya di blokir.terus gimana saya masuk dan lagi min kartu saya belum mati jadi gimana ini. Mohon pengertiannya segera apa ada masalah sama kartu HP saya."
Wahyu Mardianto,5,2024-10-04 03:59:11,Assalamualaikum & met siang kak ...kenapa telegram tidak bisa dipakai telepon lagi hari ini. Kok sering kaya gini sih ?? Minta Tolong banget diperbaiki demi kenyamanan pengguna.keterangan nya JALUR SIBUK....
mahensi tameno,1,2024-10-04 02:56:54,Telegram ko agak meresahkan kali ini yah. Di coba verifikasi ulang2 tpi tetap sama ajah ngak bisa msuk akun. Trus akun tiba2 keluar trus tidak bisa msuk lagi. Jdi mls pake telegram
Yanti Ayu,1,2024-10-04 02:56:28,"Telegram sangat tidak berfungsi dengan baik, saya baru daftar telegram baru tapi kode OTP dikirim ke Pesan telegram sedangkan saya baru mendaftar, ini yang bener aja dong yakali kita bisa liat kode OTP nya padahal kita baru daftar. Tolong dong itu juga saya kirimkan email sudah puluhan kali tidak ada respon dan solusi atau perubahan dari telegram 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎"
Rizal Abdul malik,3,2024-10-03 18:02:25,Telegram menurutku terlalu terbuka ya lebih baik bisa difilter nomor nomor yang tidak jelas seperti penipuan banyak banget njir kan bisa di analisa dengan aktif tidaknya nomor tsb dalam melakukan aktifitas percakapan
DHISTIRA OFFICIAL,1,2024-10-03 13:18:44,Parah nih bug nya telegaram knp saya gk bisa login...gk dapet code verifikasi nya ?? Perbaiki dong please.... Update aplikasinya dong telegram...jgn mengecewakan...sayang nih udh langganaan vip tp gk bisa login 😡
Edo Rinaldo,1,2024-10-03 13:10:29,"kirain gw doang yang susah daftar gara² kode aktivasi sms gx masuk² pulsa ada kalo emang dibutuhkan, dikira hp gw yg oleng, pengaturan sudah bener semua, lah membagongkan ini aplikasi"
mita noviani,1,2024-10-03 03:35:30,"buat login gabisa, padahal koneksi jaringan bagus, nomor betul tp tetep gabisa login (ngga dikirim kirim kodenya) udah minta ditelpon tp tetep gaada hasil 👎🏻"
saaana,1,2024-10-03 03:34:42,"Jujur saya kecewa banget dengan telegram, sudah ketiga kalinya telegram memblokir akun saya.. sedangkan saya tidak melanggar aturan telegram, tapi tetap saja di blokir. Sudah mengajukan bantuan tapi tetap masih tidak di buka kan blokir an nya, ditambah lagi 3 acc saya kena limit ga jelas, salah satu acc nya aja baru di pake tapi malah kena limit. kecewa banget sama telegram kalau masih kaya gini terus mending tutup aja aplikasi nya"
Dina Astriana,1,2024-10-03 02:09:36,"Tidak bisa login ke telegram... Menunggu kode di kirim ke SMS juga tidak ada terus. Sudah 3 hari seperti ini terus, tidak bisa login. sampai hari ini belum di kirim juga otv lewat SMS nya, tolong dong di respon"
Raihan Muhammad Althof,1,2024-10-03 01:24:52,"Susah login, harusnya dapat OTP lewat SMS, tapi malah dapet OTP dari WA dan nomornya mencurigakan. Setelah cek nomornya di get kontak banyak yg berkomentar itu nomor penipu"
Tresia Asna,1,2024-10-03 01:04:09,"Tidak bisa di buka Sudah berulang kali minta kode, bhkan ganti nomor pun tidak ada kode masuk. Mohon tanggapannya sdah kirim ke email 4 kali tapi tidak ada kode masuk. Nomor yg satu koneksi gagal pdhal.lncar smua tpi tda bisa, nomor kedua kodenya gk masuk2 dri kemarin"
Balqis Bajoban,1,2024-10-02 23:47:18,"Saya sudah 4kali mendownload kembali telegram saya tetapi masih tetep saja tidak bisa dibuka,, saya ingin login akun telegram, tetapi selalu tidak mendapatkan kode verifikasi, kartu saya ini padahal baru. Padahal dulu kalo login kodenya dikirim lewat SMS, telepon, WhatsApp, udah dikirim email ke pihak telegram juga tidak ada respon sama sekali... MOHON SEGERA Di PERBAIKI TELEGRAM SAYA, Terimakasih"
Kezia Anjani,1,2024-10-02 21:40:50,"Kecewa sekali, padahal sebelumnya TELEGRAM aplikasi favorite saya, sekarang tidak! Mengapa saya sulit sekali mendapatkan Kode OTP! Smpe seminggu blm juga di kirim, sampai saya ganti HP ttp ga bisa"
Irfan Riansyah,1,2024-10-02 18:52:05,"Dear telegram, saya mohon untuk segera di perbaiki msalah kode otp tidak masuk ke sms, jujur itu sanget merugan kami semua sebagai user, kami butuh telegram untuk berkomunikasi dengan keluarga, temen, dan rekan kerja. Saya mohonn sebesar besarnya untuk segera di perbaiki masalah ini, terimakasih."
RIFANA SWARA Channel,2,2024-10-02 18:06:47,"Kenapa saya tidak menerima pesan OTP ketika masuk telegram.. Mintabantuan melalui email support telqgram pun tidak ada respon, pake nomor yang baru malah verifikasi akan dikirim via pesan telegram.. Mohon jawabannya"
Lee_ ya,1,2024-10-02 16:29:25,"Tele sekarang kok jadi bobrok ya, niat hati mau pindah ke hp baru pas mau login gak bisa-bisa sampai ribuan kali pun😡 Suruh masukan kode lewat SMS tapi SMSnya gak ada di tungguin sampai lumutan juga. Sumpah sangat-sangat mengecewakan, padahal sebelumnya aplikasi telegram ini andalanku lho. Sekarang udah basi 1000% mengecewakan👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎"
Lintang,1,2024-10-02 14:51:54,"perbaiki dongg masak mau login aja susah amat, saya sudah coba berkali"" tapi tidak dapat kode verifikasi nya kalo bisa kirim lewat wa jangan lewat sms biar lebih mudahh..... besok kalo udah di perbaiki saya tambah bintang jadi bintang 5"
Alul,1,2024-10-02 13:38:16,"Kecewa berat, saya ingin login tetapi tidak menerima kode verifikasi, dengan bertuliskan "" Kami sudah mengirim kode verifikasi ke perangkat anda"", Padahal belum sama sekali, kirim kode lewat telepon tidak ada telepon sama sekali, kalau belum ada perbaikan banyak orang yang uninstal aplikasi ini, untuk developer telegram TOLONG PERBAIKI APLIKASINYA!!!"
Ekawi Jaya Putra,1,2024-10-02 13:22:18,"Parah banget, susah banget mendapatkan kode verifikasi, di Coba berkali-kali tetap ja gi bisa..ga kaya aplikasi yang lain sengat mudah, tolong di perbaikin pihak telegram kedepannya. .yang lain juga pada komen seperti susah mendapatkan kode verifikasi. ..parah parah parah"
Abdul Muthalib,1,2024-10-02 12:54:13,Telegram aplikasi tidak aman sekarang telegram masuk ling macam-macam dan ketika saya buka ling tersebut telegram saya hilang data semuanya harus masuk ulang. Ketika masuk ulang hilang semuanya normal kontak di telegram. Aplikasi apaan ini tidak aman
Myname Isher,1,2024-10-02 11:45:14,Payah. Tidak mendapatkan kode verifikasi berkali-kali. Sudah saya uninstal berkali-kali juga. Tidak ada SMS maupun email yang masuk. Sudah saya kirim email tetapi tidak mendapatkan respon sama sekali.
Niken Dian Atas Asih,1,2024-10-02 11:43:44,Sementara 1 bintang dulu... Aq pakaiindosat gak terima kode verifikasi baik sms maupun telp... Pakai telkomsel langs dapat kode verifikasi... Aq ngejar indosat karena itu udh lama telegramnya dan kemarin tiba-tiba keluar dan mau masuk lagi gak bisa... KENAPA YA?????
